,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Paamiut,61.994,-49.6678,21.74,80,0,7.23,GL,1612620442
1,Kalmar,56.6616,16.3616,24.01,93,75,10.36,SE,1612620444
2,Rikitea,-23.1203,-134.9692,77.34,74,100,13.62,PF,1612620446
3,Cidreira,-30.1811,-50.2056,72.91,67,77,12.06,BR,1612620448
4,Avarua,-21.2078,-159.775,77.0,94,75,5.75,CK,1612620449
5,Clyde River,70.4692,-68.5914,-9.4,77,90,3.44,CA,1612620452
6,Conde,-7.2597,-34.9075,87.8,58,75,10.36,BR,1612620453
7,Hobyo,5.3505,48.5268,80.1,64,4,13.15,SO,1612620455
8,Busselton,-33.65,115.3333,61.0,88,100,1.99,AU,1612620248
9,Mahébourg,-20.4081,57.7,84.2,65,40,11.5,MU,1612620459
10,Mataura,-46.1927,168.8643,49.95,94,2,1.01,NZ,1612620460
11,Zhigalovo,54.8097,105.1578,7.14,92,100,3.24,RU,1612620462
12,Jamestown,42.097,-79.2353,15.01,67,90,21.85,US,1612620370
13,Tashtagol,52.7657,87.8894,24.87,97,100,1.41,RU,1612620465
14,Encinitas,33.037,-117.292,46.4,76,1,0.56,US,1612620310
15,Minas Novas,-17.2186,-42.5903,72.95,89,100,1.52,BR,1612620468
16,Catuday,16.2923,119.8062,77.85,79,14,7.07,PH,1612620470
17,Arraial do Cabo,-22.9661,-42.0278,73.4,88,75,6.91,BR,1612620472
18,Bluff,-46.6,168.3333,54.88,85,1,1.79,NZ,1612620474
19,Punta Arenas,-53.15,-70.9167,51.8,50,75,16.11,CL,1612620194
20,Los Llanos de Aridane,28.6585,-17.9182,68.0,49,20,21.85,ES,1612620239
21,Albany,42.6001,-73.9662,30.2,54,75,8.05,US,1612620479
22,Verkhnetulomskiy,68.6073,31.7962,24.8,86,75,11.18,RU,1612620481
23,Codrington,-38.2667,141.9667,60.21,81,100,14.67,AU,1612620483
24,Saint Paul Harbor,57.79,-152.4072,24.8,68,1,5.75,US,1612620484
25,Katsuura,35.1333,140.3,50.0,76,0,4.61,JP,1612620486
26,Norman Wells,65.282,-126.8329,-36.4,74,20,5.75,CA,1612620488
27,Vaini,-21.2,-175.2,77.0,100,90,3.44,TO,1612620489
28,Castro,-24.7911,-50.0119,72.88,57,0,1.03,BR,1612620491
29,Likasi,-10.9814,26.7333,78.03,77,65,4.21,CD,1612620493
30,Portland,45.5234,-122.6762,41.0,87,75,4.61,US,1612620245
31,Hurghada,27.2574,33.8129,75.2,35,0,9.22,EG,1612620496
32,Hermanus,-34.4187,19.2345,78.01,67,0,7.0,ZA,1612620498
33,Butaritari,3.0707,172.7902,80.87,81,83,21.03,KI,1612620499
34,Bethel,41.3712,-73.414,33.01,60,39,12.48,US,1612620501
35,Panjāb,34.388,67.0233,24.15,83,0,3.47,AF,1612620503
36,Hong Kong,22.2855,114.1577,68.0,69,0,5.35,HK,1612620359
37,Cherskiy,68.75,161.3,-10.84,81,0,7.4,RU,1612620506
38,Naze,28.3667,129.4833,61.75,86,97,8.41,JP,1612620508
39,San Andrés,12.5847,-81.7006,82.4,78,75,11.5,CO,1612620509
40,George Town,5.4112,100.3354,86.0,70,20,3.44,MY,1612620511
41,Flinders,-34.5833,150.8552,68.0,86,0,1.01,AU,1612620431
42,Mayo,38.8876,-76.5119,42.01,48,1,3.44,US,1612620515
43,New Norfolk,-42.7826,147.0587,57.99,76,4,2.98,AU,1612620517
44,Pacific Grove,36.6177,-121.9166,42.8,87,1,3.44,US,1612620518
45,Am Timan,11.0297,20.2827,93.61,10,69,7.43,TD,1612620520
46,Puerto Ayora,-0.7393,-90.3518,75.99,97,44,3.0,EC,1612620522
47,Nikolskoye,59.7035,30.7861,12.2,79,90,11.18,RU,1612620523
48,Mandalgovi,45.7625,106.2708,5.85,85,32,5.77,MN,1612620526
49,Port Elizabeth,-33.918,25.5701,82.4,65,20,13.8,ZA,1612620301
50,Realeza,-25.7689,-53.5325,75.61,55,0,2.62,BR,1612620529
51,Marsá Maţrūḩ,31.3525,27.2453,66.2,63,0,11.5,EG,1612620531
52,Husavik,66.0449,-17.3389,35.6,60,75,5.75,IS,1612620533
53,Ushuaia,-54.8,-68.3,48.2,57,0,14.97,AR,1612620535
54,Walvis Bay,-22.9575,14.5053,73.4,60,30,9.22,NA,1612620536
55,Berlevåg,70.8578,29.0864,26.51,93,100,23.42,NO,1612620538
56,Carnarvon,-24.8667,113.6333,80.6,100,75,12.66,AU,1612620540
57,Boshnyakovo,49.6333,142.1667,-7.98,89,26,4.47,RU,1612620543
58,Pevek,69.7008,170.3133,-4.85,85,100,3.15,RU,1612620544
59,Kamiichi,36.7,137.3667,44.01,72,61,1.99,JP,1612620546
60,Lompoc,34.6391,-120.4579,42.8,93,1,4.61,US,1612620450
61,Ekibastuz,51.6667,75.3667,28.13,96,5,12.5,KZ,1612620549
