,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kahului,20.8947,-156.47,66.2,72,75,3.44,US,1612599418
1,Ngunguru,-35.6167,174.5,68.0,80,97,3.0,NZ,1612599420
2,Avarua,-21.2078,-159.775,77.0,94,62,1.14,CK,1612599422
3,Port Alfred,-33.5906,26.891,73.99,88,91,4.0,ZA,1612599423
4,Pevek,69.7008,170.3133,-10.35,87,100,1.7,RU,1612599425
5,Rikitea,-23.1203,-134.9692,77.25,74,85,14.47,PF,1612599427
6,Sohag,26.557,31.6948,59.0,63,0,3.44,EG,1612599428
7,Uncia,-18.467,-66.5685,46.33,79,96,5.39,BO,1612599430
8,Jamestown,42.097,-79.2353,19.99,79,90,24.16,US,1612599253
9,Ilulissat,69.2167,-51.1,12.2,34,40,2.3,GL,1612599433
10,Nikolskoye,59.7035,30.7861,10.99,85,75,13.42,RU,1612599435
11,Busselton,-33.65,115.3333,70.0,63,100,5.01,AU,1612599437
12,Beringovskiy,63.05,179.3167,-10.08,87,0,3.76,RU,1612599150
13,Geraldton,-28.7667,114.6,82.4,69,90,17.27,AU,1612599440
14,Marrakesh,31.6315,-8.0083,48.2,93,75,6.91,MA,1612599163
15,Perevoz,55.5961,44.5446,1.8,91,100,14.52,RU,1612599443
16,Mozarlândia,-14.7447,-50.5706,72.5,93,100,3.71,BR,1612599445
17,Bulawayo,-20.15,28.5833,74.32,75,100,10.22,ZW,1612599446
18,Mitsamiouli,-11.3847,43.2844,87.8,66,20,4.61,KM,1612599448
19,Vaini,-21.2,-175.2,78.8,94,75,3.44,TO,1612599450
20,Puerto Ayora,-0.7393,-90.3518,75.99,97,24,8.43,EC,1612599451
21,Meadow Lake,34.8014,-106.5436,39.2,38,1,9.22,US,1612599307
22,Ankang,32.68,109.0172,64.76,27,0,0.92,CN,1612599454
23,Qaanaaq,77.484,-69.3632,2.46,80,100,7.61,GL,1612599311
24,Banjar,-8.19,114.9675,82.4,83,75,8.05,ID,1612599458
25,Peniche,39.3558,-9.3811,51.01,89,100,15.01,PT,1612599394
26,Butaritari,3.0707,172.7902,80.17,84,100,17.34,KI,1612599461
27,Yellowknife,62.456,-114.3525,-40.0,67,1,3.44,CA,1612599250
28,Nantucket,41.2835,-70.0995,39.2,93,1,13.8,US,1612599394
29,Cherskiy,68.75,161.3,-5.78,82,100,5.95,RU,1612599466
30,Arraial do Cabo,-22.9661,-42.0278,71.6,100,75,10.36,BR,1612599468
31,Tankhoy,51.5528,105.1306,15.17,90,84,1.92,RU,1612599469
32,Yar-Sale,66.8333,70.8333,-23.62,87,100,13.91,RU,1612599471
33,Albany,42.6001,-73.9662,27.0,80,75,4.29,US,1612599473
34,Provideniya,64.3833,-173.3,9.14,93,98,3.91,RU,1612599474
35,Nishihara,26.1842,127.7558,75.2,49,20,10.36,JP,1612599476
36,Bathsheba,13.2167,-59.5167,77.0,61,20,20.71,BB,1612599477
37,Ushuaia,-54.8,-68.3,41.0,81,40,10.36,AR,1612599480
38,Beyneu,45.3167,55.2,36.82,74,74,29.17,KZ,1612599481
39,Klaksvík,62.2266,-6.589,32.0,93,90,17.27,FO,1612599483
40,Tuktoyaktuk,69.4541,-133.0374,-18.65,84,100,9.71,CA,1612599485
41,Helong,42.5397,128.9972,28.81,92,100,5.73,CN,1612599486
42,Iqaluit,63.7506,-68.5145,14.0,85,1,14.97,CA,1612599488
43,Arlit,18.7369,7.3853,70.23,21,0,9.93,NE,1612599489
44,Laguna,38.421,-121.4238,44.01,81,1,4.52,US,1612599491
45,Barrow,71.2906,-156.7887,-4.0,77,90,5.75,US,1612599493
46,Guarapuava,-25.3953,-51.4581,49.42,98,3,2.33,BR,1612599494
47,Mataura,-46.1927,168.8643,59.54,77,2,2.15,NZ,1612599496
48,Hilo,19.7297,-155.09,69.8,73,90,4.09,US,1612599200
49,Esperance,-33.8667,121.9,64.4,68,75,18.41,AU,1612599499
50,Khanbari,27.3747,87.2039,62.51,44,69,6.64,NP,1612599501
51,George Town,5.4112,100.3354,89.6,62,20,10.36,MY,1612599349
52,Örnsköldsvik,63.2909,18.7153,21.2,86,90,10.36,SE,1612599504
53,Hurghada,27.2574,33.8129,66.2,55,0,17.27,EG,1612599506
54,Ribeira Grande,38.5167,-28.7,59.0,88,75,12.66,PT,1612599507
55,Hay River,60.8156,-115.7999,-34.6,67,100,6.91,CA,1612599509
56,Cooma,-36.2333,149.1333,68.0,52,90,10.36,AU,1612599510
57,Atuona,-9.8,-139.0333,79.74,80,31,21.27,PF,1612599512
58,Ponta do Sol,32.6667,-17.1,52.0,68,55,1.99,PT,1612599514
59,Grand Gaube,-20.0064,57.6608,84.0,72,94,7.0,MU,1612599515
60,Saint-Augustin,51.226,-58.6502,31.68,99,99,10.27,CA,1612599517
61,Green River,41.5286,-109.4662,21.2,79,1,23.02,US,1612599519
62,Bluff,-46.6,168.3333,56.93,85,0,7.76,NZ,1612599520
63,Ileza,61.0533,43.9002,-8.0,89,100,10.47,RU,1612599522
64,Hailar,49.2,119.7,-2.29,89,0,5.06,CN,1612599523
65,Cap Malheureux,-19.9842,57.6142,84.0,72,90,7.0,MU,1612599525
66,São Filipe,14.8961,-24.4956,68.81,75,11,15.97,CV,1612599526
67,Half Moon Bay,37.4636,-122.4286,51.8,100,90,4.61,US,1612599370
68,Shīeli,44.1667,66.75,47.23,62,100,14.52,KZ,1612599530
69,Khasan,42.4308,130.6434,25.66,98,100,7.65,RU,1612599531
70,New Norfolk,-42.7826,147.0587,64.0,88,75,5.75,AU,1612599533
71,Kapaa,22.0752,-159.319,62.6,77,1,10.36,US,1612599534
72,Scarborough,54.2797,-0.4044,41.0,95,100,8.01,GB,1612599536
73,Portobelo,9.55,-79.65,78.01,99,100,5.77,PA,1612599538
74,Kaitangata,-46.2817,169.8464,55.94,88,0,2.75,NZ,1612599540
75,Saldanha,-33.0117,17.9442,75.2,60,0,17.27,ZA,1612599541
76,Gorontalo,0.5412,123.0595,82.04,81,100,4.81,ID,1612599543
77,Lábrea,-7.2586,-64.7981,73.45,98,100,2.37,BR,1612599545
